1953-01-01,3308
1954-01-01,3336
1955-01-01,3586
1956-01-01,3742
1957-01-01,3925
1958-01-01,4106
1959-01-01,4348
1960-01-01,4384
1961-01-01,4421
1962-01-01,4627
1963-01-01,5018
1964-01-01,5327
1965-01-01,5536
1966-01-01,6233
1967-01-01,6782
1968-01-01,7384
1969-01-01,8105
1970-01-01,8552
1971-01-01,8980
1972-01-01,9668
1973-01-01,10627
1974-01-01,11322
1975-01-01,12236
1976-01-01,13419
1977-01-01,14567
1978-01-01,15944
1979-01-01,17550
1980-01-01,19142
1981-01-01,20582
1982-01-01,21500
1983-01-01,22495
1984-01-01,24094
1985-01-01,25077
1986-01-01,26708
1987-01-01,28390
1988-01-01,28951
1989-01-01,30499
1990-01-01,31727
1991-01-01,31940
1992-01-01,32786
1993-01-01,33365
1994-01-01,35388
1995-01-01,36628
1996-01-01,38710
1997-01-01,41001
1998-01-01,42711
1999-01-01,44881
2000-01-01,45881
2001-01-01,46688
2002-01-01,47230
2003-01-01,47322
2004-01-01,50003
2005-01-01,51352
2006-01-01,52436
2007-01-01,56538
2008-01-01,55877
2009-01-01,54913
2010-01-01,55223
2011-01-01,56869
2012-01-01,57431
2013-01-01,60089
2014-01-01,60914
2015-01-01,62544
2016-01-01,66505
2017-01-01,70081
2018-01-01,71136
2019-01-01,77652
2020-01-01,76481
